[19:05:07][Info]: Remember! Quit the server by using 'Control + C' so a backup is properly made before closing!
[19:05:07][LMP]: Luna Server version: 0.29.0 (C:\Servertest\LMPServer 1\LMPServer\)
[19:05:07][Debug]: Loading universe... 0,639KB
[19:05:07][Debug]: Loading groups...
[19:05:07][Debug]: Loading settings...
[19:05:07][Debug]: Loading mod control...
[19:05:08][Debug]: Loading plugins...
[19:05:08][LMP]: Starting 'ZZZwefly' on Address 0.0.0.0 Port 8800... 
[19:05:13][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:13][LMP]: Registering with master servers
[19:05:13][LMP]: All systems up and running. Поехали!
[19:05:13][Debug]: Performing a GarbageCollection
[19:05:13][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:13][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:16][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:17][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:19][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:21][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:23][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:25][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:27][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:29][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:31][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:34][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:36][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:38][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:40][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:42][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:44][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:46][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:48][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:50][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:52][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:54][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:56][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:05:58][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:00][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:02][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:03][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:05][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:08][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:09][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:12][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:13][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:15][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:17][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:20][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:22][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:06:23][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
